! name array 6.1 m 1.0
3H	4519460.13	629040.87
3F	4519453.20	629047.80
5C	4519496.58	629223.34
5E	4519488.30	629234.39
2H	4519387.83	628975.07
2K	4519408.98	628996.43
1A	4519347.51	629038.59
1B	4519325.54	629073.94
1C	4519261.61	629067.30
1D	4519264.97	629043.69
1E	4519275.58	629029.14
1F	4519274.09	628999.83
1G	4519294.35	628998.85
1H	4519308.94	628973.70
1J	4519353.47	628962.52
1K	4519341.26	629015.09
2A	4519421.90	629064.51
2B	4519412.71	629088.04
2C	4519384.23	629083.48
2D	4519363.54	629123.25
2E	4519366.64	629140.51
2F	4519377.85	628996.96
2G	4519375.41	628967.97
2J	4519403.01	628986.96
2L	4519410.06	629021.37
2M	4519408.79	629053.02
3C	4519455.64	629136.37
3D	4519477.17	629089.70
3E	4519465.79	629063.44
3G	4519450.66	629038.33
3J	4519499.35	629094.78
3L	4519518.72	629065.57
4E	4519485.49	629162.04
4F	4519503.83	629115.95
4G	4519522.87	629087.85
4H	4519525.80	629074.67
4J	4519546.60	629116.01
4K	4519520.89	629129.16
4L	4519520.87	629140.02
5B	4519513.60	629216.69
5G	4519482.70	629207.39
5H	4519495.75	629209.94
B1	4519282.00	629862.00
B2	4519331.00	629640.00
B3	4519879.00	629270.00
B4	4520169.00	629099.00
B5	4520341.00	629096.00
B6	4520344.00	628330.00

N1	4519314.14	629018.79
N2	4519383.95	629040.71
N3	4519477.92	629104.07
N4	4519524.53	629150.38
N5	4519502.58	629219.13
